카테고리,가게명,주소
1인분 주문,리얼짜글이-상록점,경기도 안산시 상록구 본오동 888-17 888-17 1층 102호
1인분 주문,파스타집이야-안산상록수점,경기도 안산시 상록구 본오동 873-1 상경빌딩 상경빌딩B102호 (본오동)
1인분 주문,덮밥집이야-상록수점,"경기도 안산시 상록구 본오동 873-1 상경빌딩 B102호 (본오동,상경빌딩)"
1인분 주문,봉카츠-안산직영점,"경기도 안산시 상록구 본오동 872 월드아파트 상가3동 지B01호일부, B02호 일부(2호)"
1인분 주문,희담김밥,경기도 안산시 상록구 본오동 885-6 885-6 105호
1인분 주문,바삭닭강정,경기도 안산시 상록구 본오동 874-6 대동빌딩 1층 104호
1인분 주문,국밥은이거지-안산본오점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지1층 B111호
1인분 주문,지미카레-안산본오점,경기도 안산시 상록구 본오동 790-14 상가 1층 101호 일부
1인분 주문,김나인닭강정,경기도 안산시 상록구 본오동 873-1 상경빌딩 지층 104호
프랜차이즈,치킨플러스-안산본오점,경기도 안산시 상록구 본오동 922-4 922-4 101호
프랜차이즈,프랭크버거-본오점,경기도 안산시 상록구 본오동 882-7 1층 103호
프랜차이즈,왓더버거-상록수점,경기도 안산시 상록구 본오동 880-14 우성프라자 1층 103호
프랜차이즈,BHC-안산본오점,경기도 안산시 상록구 본오동 915-5 1층 102호
프랜차이즈,푸라닭-안산본오점,"경기도 안산시 상록구 본오동 868-11 868-11 1층 104,105호"
프랜차이즈,롯데리아-안산본오점,"경기도 안산시 상록구 본오동 872-18 동성빌딩 872-18 동성빌딩 101,102,103,108,109호"
프랜차이즈,피자헐-본오점,경기도 안산시 상록구 본오동 855-7 855-7
프랜차이즈,60계치킨-경기안산상록수점,"경기도 안산시 상록구 본오동 872-12 104,105호"
프랜차이즈,후라이드참잘하는집-상록수점,"경기도 안산시 상록구 본오동 879-16 신안2차아파트 상가동 신안아파트 상가1층 103,104호"
프랜차이즈,굽네치킨&피자-본오2동점,경기도 안산시 상록구 본오동 818 1층 102호
프랜차이즈,노모어피자-안산본오점,경기도 안산시 상록구 본오동 823 1층 일부호
프랜차이즈,가마치통닭-경기안산상록수역점,"경기도 안산시 상록구 본오동 872 월드아파트 상가 2동 1층 109,110호"
프랜차이즈,교촌치킨-본오1호점,경기도 안산시 상록구 본오동 879-10 초원빌딩 879-10 초원빌딩 101호
프랜차이즈,노랑통닭-안산본오점,경기도 안산시 상록구 본오동 886 1층
프랜차이즈,버거킹-상록수역점,"경기도 안산시 상록구 본오동 873-5 서해프라자 873-5 서해프라자 1층일부, 2층일부"
프랜차이즈,BBQ-본오점,경기도 안산시 상록구 본오동 879-16 신안2차아파트 879-16 신안2단지아파트상가 11
프랜차이즈,대한성-본오점,"경기도 안산시 상록구 본오동 880-12 굿모닝리빙프라자 II 880-12 101호,102호(굿모닝리빙프라자 2)"
프랜차이즈,자담치킨-본오점,경기도 안산시 상록구 본오동 783-3 783-3
프랜차이즈,동근이숯불두마리치킨-안산본오점,경기도 안산시 상록구 본오동 871-7 1층 102호
프랜차이즈,둘둘치킨-본오점,경기도 안산시 상록구 본오동 871-5 우남빌딩 108호
프랜차이즈,바른치킨-본오점,경기도 안산시 상록구 본오동 898 1층 101호
프랜차이즈,치킨마루-본오점,경기도 안산시 상록구 본오동 827-8
프랜차이즈,네네치킨-본오2호점,경기도 안산시 상록구 본오동 886-8 886-8 1층 102호
프랜차이즈,보배반점-안산본오점,경기도 안산시 상록구 본오동 870-8 1층
프랜차이즈,훌랄라참숯치킨-본오동점,경기도 안산시 상록구 본오동 924-3 924-3
프랜차이즈,누구나홀딱반한닭-안산본오점,"경기도 안산시 상록구 본오동 889-3 889-3 101,201호"
프랜차이즈,백억커피-안산본오점,경기도 안산시 상록구 본오동 854 1층 일부
프랜차이즈,투몬스터캔커피-본오직영점,경기도 안산시 상록구 본오동 909-9 한은빌딩 2층
프랜차이즈,KFC-안산상록수점,경기도 안산시 상록구 본오동 874-11 삼우프라자 103~104호
프랜차이즈,파파존스피자-안산상록점,경기도 안산시 상록구 본오동 862-10 1층 101호
프랜차이즈,1키로공룡닭강정-안산본오점,경기도 안산시 상록구 본오동 668-6 1층 일부
프랜차이즈,청년다방-안산본오점,경기도 안산시 상록구 본오동 880-5 107호
프랜차이즈,두찜-안산본오점,경기도 안산시 상록구 본오동 854-13 854-13 1층 102호
프랜차이즈,동대문엽기떡볶이-안산본오1동점,경기도 안산시 상록구 본오동 949-1 1층 102호
프랜차이즈,또봉이통닭-안산본오점,경기도 안산시 상록구 본오동 823-10 1층
프랜차이즈,신전떡볶이-본오점,경기도 안산시 상록구 본오동 815-6
프랜차이즈,죠스떡볶이-상록수역점,경기도 안산시 상록구 본오동 874-5 미림프라자 874-5 미림프라자
프랜차이즈,컴포즈커피-안산상록수점,경기도 안산시 상록구 본오동 873-10 해동빌딩 1층 105호
프랜차이즈,오븐에빠진닭-안산본오점,경기도 안산시 상록구 본오동 769 769 2층
프랜차이즈,응급실국물떡볶이-안산본오점,경기도 안산시 상록구 본오동 889-9 889-9 101호
프랜차이즈,백종원의역전우동&덮밥-안산본오점,"경기도 안산시 상록구 본오동 880-4 혜연빌딩 101,102호"
프랜차이즈,달떡볶이-본오점,경기도 안산시 상록구 본오동 813-18 1층 일부 104호
프랜차이즈,파슷타애요-안산본점,"경기도 안산시 상록구 본오동 872 월드아파트 상가3동 지하층 103호(본오동, 월드아파트)"
프랜차이즈,에바돈가츠-안산본오점,경기도 안산시 상록구 본오동 857-4 1층
프랜차이즈,구도로통닭-상록수역점,경기도 안산시 상록구 본오동 872-3 안산송촌빌딩 1층 104호(본오동)
프랜차이즈,서오릉피자-상록수점,경기도 안산시 상록구 본오동 873-11 인제빌딩 1층 106호
프랜차이즈,동해횟집,경기도 안산시 상록구 본오동 666-11 1층 101호
프랜차이즈,더벤티-안산본오점,경기도 안산시 상록구 본오동 880-15 강남빌딩 103호
프랜차이즈,파리바게뜨-안산본오중점,"경기도 안산시 상록구 본오동 854-18 동양빌딩 101, 102호"
프랜차이즈,마라벅스마라탕-본오점,경기도 안산시 상록구 본오동 880-13 굿모닝리빙프라자 I 1층 104호
프랜차이즈,감동까스-안산본오점,경기도 안산시 상록구 본오동 869-7 1층 일부
프랜차이즈,배스킨라빈스-안산본오점,경기도 안산시 상록구 본오동 882-7 882-7 1층
프랜차이즈,떡볶이플러스-안산본오점,경기도 안산시 상록구 본오동 922-4 922-4 101호
프랜차이즈,포케올데이샐러드&도시락-안산상록수역점,경기도 안산시 상록구 본오동 874-10 서일빌딩 201호 일부
프랜차이즈,포트리스베트남쌀국수-안산본오점,경기도 안산시 상록구 본오동 854-17 1층 일부호
프랜차이즈,배떡-본오점,경기도 안산시 상록구 본오동 820-22 102호
프랜차이즈,중평떡볶이-안산상록점,경기도 안산시 상록구 본오동 810-2 기산빌딩 1층 104호
프랜차이즈,맥시칸치킨-상록수점,경기도 안산시 상록구 본오동 1129-8 1129-8번지 1층
프랜차이즈,떡의작품가래떡볶이-상록수본점,경기도 안산시 상록구 본오동 874-5 미림프라자 105호
프랜차이즈,탕화쿵푸마라탕-본오점,경기도 안산시 상록구 본오동 823-7 1층
프랜차이즈,치킨혁명-본오점,경기도 안산시 상록구 본오동 829-10 1층102호
프랜차이즈,요아정-안산상록점,경기도 안산시 상록구 본오동 903-9 1층 일부
프랜차이즈,애플김밥-본점,경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 139호
프랜차이즈,조선육회-상록점,경기도 안산시 상록구 본오동 823-11 1층
프랜차이즈,유미카츠-상록수점,경기도 안산시 상록구 본오동 873-10 해동빌딩 104호
프랜차이즈,다복향마라탕-본오점,경기도 안산시 상록구 본오동 882-6 1층 일부
프랜차이즈,고기듬뿍국물두루치기-본오점,경기도 안산시 상록구 본오동 866-17 105호
프랜차이즈,와다라멘-안산상록점,경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 136호
프랜차이즈,스테이크존-본오점,경기도 안산시 상록구 본오동 827-1 1층 일부
프랜차이즈,보끔당-안산본오점,경기도 안산시 상록구 본오동 880-7 1층 103호
프랜차이즈,가장맛있는족발-본오점,경기도 안산시 상록구 본오동 871-10 로스코프라자 871-10 로스코프라자 1층 101호
프랜차이즈,덮밥90도씨-안산점,경기도 안산시 상록구 본오동 872 월드아파트 상가3동 상가3동 지하층 104호
프랜차이즈,소림마라-상록수점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지하층 B117호
프랜차이즈,국수나무-안산본오점,경기도 안산시 상록구 본오동 810-3 810-3 101호
프랜차이즈,뚜레쥬르-안산상록수점,경기도 안산시 상록구 본오동 872-2 국제프라자
프랜차이즈,땅스부대찌개-본오동점,경기도 안산시 상록구 본오동 882-3 1층 103호
프랜차이즈,동궁찜닭-본오점,경기도 안산시 상록구 본오동 891-5 1층 일부호
프랜차이즈,홍곱도리탕-안산본오점,경기도 안산시 상록구 본오동 869-7 1층 일부
프랜차이즈,기떡찜-안산본오점,경기도 안산시 상록구 본오동 922-4 101호
프랜차이즈,요거프레소-안산본오점,경기도 안산시 상록구 본오동 879-6 청송빌딩 101호
프랜차이즈,천수냉면-상록점,경기도 안산시 상록구 본오동 667-11 3층 1호
프랜차이즈,마왕족발-안산본오점,"경기도 안산시 상록구 본오동 872-13 상록빌딩 101,102호"
프랜차이즈,아담만두-상록수점,경기도 안산시 상록구 본오동 874-5 미림프라자 1층 101호
프랜차이즈,던킨-상록수역점,경기도 안산시 상록구 본오동 874-8 청암빌딩 청암빌딩 106호
프랜차이즈,한짬뽕,경기도 안산시 상록구 본오동 862-10 1층 102호
프랜차이즈,설빙-안산상록수점,경기도 안산시 상록구 본오동 874-2 송암빌딩 874-2 송암빌딩 201호
프랜차이즈,이디야커피-안산본오동점,경기도 안산시 상록구 본오동 872-16 101호
프랜차이즈,웅이네오돌뼈닭발도-안산본오점,경기도 안산시 상록구 본오동 862-13 1층 일부 (본오동)
프랜차이즈,메가MGC커피-안산본오중앙점,경기도 안산시 상록구 본오동 769-3 1층 일부
프랜차이즈,파리바게뜨-안산본오점,경기도 안산시 상록구 본오동 882-9 1층
프랜차이즈,홍루이젠-안산본오점,경기도 안산시 상록구 본오동 879-13 녹원프라자 879-13 녹원프라자 102호
프랜차이즈,죽이야기-안산본오점,경기도 안산시 상록구 본오동 819 1층
프랜차이즈,곱창듬뿍국물곱도리탕-상록점,경기도 안산시 상록구 본오동 815-2 1층 104호 (본오동)
프랜차이즈,교촌치킨-본오2호점,경기도 안산시 상록구 본오동 857-8 857-8 1층
프랜차이즈,등촌샤브칼국수-상록수점,"경기도 안산시 상록구 본오동 874-8 청암빌딩 2층 205,206호"
프랜차이즈,공차-안산상록수점,경기도 안산시 상록구 본오동 874-11 삼우프라자 1층 102호
프랜차이즈,원할머니보쌈-안산상록수점,경기도 안산시 상록구 본오동 873-5 서해프라자 2층 일부
프랜차이즈,쿡1015-상록수점,경기도 안산시 상록구 본오동 873-4 현대프라자 873-4 현대프라자 1층 111호
프랜차이즈,청해수산,경기도 안산시 상록구 본오동 769-2 769-2 2층
프랜차이즈,오늘도닭갈비-상록수역점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지1층 B111호
프랜차이즈,청춘아구&알곤이찜-안산본오점,경기도 안산시 상록구 본오동 888-2 1층 일부호
프랜차이즈,롱쓰부대찌개-안산본오점,경기도 안산시 상록구 본오동 753-7
프랜차이즈,진교동찜닭-안산점,경기도 안산시 상록구 본오동 873-1 상경빌딩 B1층 B103호
프랜차이즈,원할머니명품도시락-상록수점,경기도 안산시 상록구 본오동 873-5 서해프라자 2층 일부
프랜차이즈,족발로일등하는집-안산본오점,경기도 안산시 상록구 본오동 813-10 102호
프랜차이즈,홍춘천닭갈비&부대찌개 본오3동점,경기도 안산시 상록구 본오동 872-11 대승프라자 106~109호
프랜차이즈,수유리혼밥왕-안산상록수점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지층 B114호
프랜차이즈,동대문엽기떡볶이-안산본오점,"경기도 안산시 상록구 본오동 872-9 103,104호"
프랜차이즈,대치동할매김치찜-상록점,경기도 안산시 상록구 본오동 878-10 우석빌딩 110호 (본오동)
프랜차이즈,컴포즈커피-안산본오중점,경기도 안산시 상록구 본오동 862-9 1층 일부 (본오동)
프랜차이즈,국제시장국밥-안산상록수점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지층 B114호
프랜차이즈,롯데리아-안산상록수점,경기도 안산시 상록구 본오동 874-2 송암빌딩 874-2 송암빌딩 1층 101~104호
프랜차이즈,노랑통닭-상록수점,"경기도 안산시 상록구 본오동 872-6 노랑통닭,1층 1층 101,102호"
프랜차이즈,김치찜참잘하는집 -안산상록점,경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 136호
프랜차이즈,BHC-본오2동점,경기도 안산시 상록구 본오동 762-16 1층
프랜차이즈,페리카나-안산본오2점,경기도 안산시 상록구 본오동 1126 1126
프랜차이즈,최강곱도리&낙곱새-본오점,경기도 안산시 상록구 본오동 668-6 1층 일부
프랜차이즈,이삭토스트-안산본오점,경기도 안산시 상록구 본오동 823-12
프랜차이즈,컴포즈커피-안산본오우체국점,경기도 안산시 상록구 본오동 779 연지프라자 1층 104호
프랜차이즈,응급실닭볶음탕-안산본오점,경기도 안산시 상록구 본오동 889-9 101호
프랜차이즈,파리바게뜨-상록수역점,"경기도 안산시 상록구 본오동 873-7 리치스빌딩 873-7 리치스빌딩 101,105, 106호"
프랜차이즈,제육의제왕-본오점,경기도 안산시 상록구 본오동 866-17 105호
프랜차이즈,골목낙곱새1977-안산본오점,경기도 안산시 상록구 본오동 869-7 1층 일부
프랜차이즈,요거프레소-안산본오우체국점,경기도 안산시 상록구 본오동 770-18 1층
프랜차이즈,이디야커피-안산본오동2호점,경기도 안산시 상록구 본오동 872-4 102호
프랜차이즈,파리바게뜨-안산본오한양점,경기도 안산시 상록구 본오동 871-2 동보프라자 1층 105호
프랜차이즈,배스킨라빈스-안산상록수점,"경기도 안산시 상록구 본오동 873-5 서해프라자 1층 106, 107호"
프랜차이즈,곱도리辛&낙곱새-안산상록점,경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 136호
프랜차이즈,메가MGC커피-안산본오한양점,경기도 안산시 상록구 본오동 882-10 1층
프랜차이즈,파리바게뜨-안산본오스타점,경기도 안산시 상록구 본오동 770-16 770-16 1층
프랜차이즈,또래오래-안산본오점,경기도 안산시 상록구 본오동 956-5 1층102호(본오동)
프랜차이즈,비비닭강정-본오점,경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 1층 111호
프랜차이즈,호식이두마리치킨-본오1호점,경기도 안산시 상록구 본오동 904-12 1층 일부
프랜차이즈,청년피자-안산본오점,경기도 안산시 상록구 본오동 909-8 1층 일부
프랜차이즈,지코바치킨-본오1호점,경기도 안산시 상록구 본오동 888 풍족한식탁 888 풍족한식탁 1층 102호
프랜차이즈,처갓집양념치킨-본오점,경기도 안산시 상록구 본오동 888-17 1층 일부
프랜차이즈,봉구스밥버거-본원한양점,경기도 안산시 상록구 본오동 889-8 101호(본오동)
프랜차이즈,굽네치킨&피자-본오1동점,경기도 안산시 상록구 본오동 669-7 1층 101호
프랜차이즈,봉명동내커피-상록구점,경기도 안산시 상록구 본오동 862-11 봉명동내커피상록구점 1층
프랜차이즈,페리카나-안산상록수점,경기도 안산시 상록구 본오동 878-9 878-9 103호
프랜차이즈,프랑킨바베큐치킨-상록점,경기도 안산시 상록구 본오동 918-15 104호
프랜차이즈,멕시칸치킨-본오1동점,경기도 안산시 상록구 본오동 854-13 101호
프랜차이즈,슈퍼떡볶킹-상록점,경기도 안산시 상록구 본오동 934-5 1층
프랜차이즈,또봉이통닭-안산본오2호점,경기도 안산시 상록구 본오동 944-7 1층
프랜차이즈,기영이숯불두마리치킨-안산본오점,경기도 안산시 상록구 본오동 720-10 1층
프랜차이즈,스시정-본오점,"경기도 안산시 상록구 본오동 879-8 대한빌딩 103호, 104호(본오동, 대한빌딩)"
프랜차이즈,냠냠족발&보쌈-본오점,경기도 안산시 상록구 본오동 805-14 1층
프랜차이즈,맹호수제돈까스-상록수점,경기도 안산시 상록구 본오동 873-1 상경빌딩 상경빌딩B102호 (본오동)
프랜차이즈,버거킹-상록수역점(24),경기도 안산시 상록구 본오동 873-5 서해프라자 873-5 서해프라자 1층 일부 2층 일부
프랜차이즈,더꼬치다-본오점,경기도 안산시 상록구 본오동 872-9 872-9 융창빌딩 105호
프랜차이즈,한식밥상-상록수점,"경기도 안산시 상록구 본오동 873-1 상경빌딩 지하1층 B112호(본오동, 상경빌딩)"
프랜차이즈,열정적인자영업자의김치찜-본오점,경기도 안산시 상록구 본오동 956-5
프랜차이즈,한끼1인김치찜&갈비찜-안산본오점,경기도 안산시 상록구 본오동 893-9 1층 101호
프랜차이즈,내만삼겹살-안산점,경기도 안산시 상록구 본오동 814-8 103호
프랜차이즈,찐하오마라탕-본오동점,경기도 안산시 상록구 본오동 862-7 1층일부
프랜차이즈,홍콩반점0410-안산본오점,"경기도 안산시 상록구 본오동 880-8 성은빌딩 1층 102,104호"
프랜차이즈,쪽갈비에미치닭-안산상록수점,경기도 안산시 상록구 본오동 872-21 1층 101호
프랜차이즈,경성찹쌀꽈배기-상록수역점,경기도 안산시 상록구 본오동 872 월드아파트 상가4동 1층102호
프랜차이즈,홍춘천치즈닭갈비-본오3동점,경기도 안산시 상록구 본오동 872-11 대승프라자 106~109호
프랜차이즈,1인전용김치찜-본오점,경기도 안산시 상록구 본오동 814-8 103호
프랜차이즈,과일에반하다프루타-상록본점,경기도 안산시 상록구 본오동 892-6 1층 일부
프랜차이즈,화덕에통째로구운족발-본오점,경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 1층 127호
프랜차이즈,한끼한상도시락-상록수점,"경기도 안산시 상록구 본오동 873-1 상경빌딩 지하1층 B112호(본오동, 상경빌딩)"
프랜차이즈,닭발공작소-안산본오점,경기도 안산시 상록구 본오동 815-2 1층 104호
프랜차이즈,마라순코우마라탕-상록본오점,경기도 안산시 상록구 본오동 1118-9 1층 101호
프랜차이즈,오늘도김치찜-안산본오점,경기도 안산시 상록구 본오동 773-7 1층
프랜차이즈,착한갈비찜-안산상록수점,경기도 안산시 상록구 본오동 872-21 1층 101호
프랜차이즈,대동집-상록수점,"경기도 안산시 상록구 본오동 879-1 웅진빌딩 108,109,110호"
프랜차이즈,백종원의백스비어-상록수역점,경기도 안산시 상록구 본오동 872-23 샘골빌딩 101호
프랜차이즈,이차돌-상록수역점,경기도 안산시 상록구 본오동 873-2 본오프라자 873-2 본오프라자 1층 104호
치킨,거농닭강정,경기도 안산시 상록구 본오동 953-16 953-16 1층
치킨,추억의통닭,경기도 안산시 상록구 본오동 829-10 1층102호
치킨,계장수-안산본점,경기도 안산시 상록구 본오동 919-7 919-7 1층 101호
치킨,한방통닭바베큐,경기도 안산시 상록구 본오동 872 월드아파트 상가3동 1층 113호
치킨,커플두마리치킨,경기도 안산시 상록구 본오동 869-7 1층 일부
치킨,피자구뜨-본오점,경기도 안산시 상록구 본오동 862-4 862-4 101호
치킨,미친닭날개-본오점,경기도 안산시 상록구 본오동 871-6 성문빌딩 1층 8호
치킨,79대포-안산본오점,"경기도 안산시 상록구 본오동 874-10 서일빌딩 874-10 서일빌딩 1층 109,110호"
치킨,무근본다방-상록수점,"경기도 안산시 상록구 본오동 872 월드아파트 상가3동 지층 B01호일부 , B02호 일부"
치킨,송정례황기닭곰탕삼계탕,경기도 안산시 상록구 본오동 822-4 822-4 102호
치킨,직계바베큐치킨-본점,경기도 안산시 상록구 본오동 918-15 104호
치킨,강호동678치킨-안산본오점,경기도 안산시 상록구 본오동 779 연지프라자 779 연지프라자 1층 107호
치킨,닭강정챔피언-본오점,경기도 안산시 상록구 본오동 759-1 1층 일부호(본오동)
치킨,한식당-본오점,경기도 안산시 상록구 본오동 667-5 667-5 1층
피자/양식,파스타의정석-안산본점,경기도 안산시 상록구 본오동 872 월드아파트 상가3동 지하층 104호
피자/양식,심야스테이크-상록수점,경기도 안산시 상록구 본오동 873-7 리치스빌딩 104호(본오동)
피자/양식,우쭈쭈직화쭈꾸미&직화불고기-상록점,"경기도 안산시 상록구 본오동 874-3 상림프라자 874-3 상림프라자 2층 202,204호"
피자/양식,피자가들어간고기앤쭈꾸미,"경기도 안산시 상록구 본오동 874-3 상림프라자 874-3 상림프라자 2층 202,204호"
피자/양식,숩수비드전문,경기도 안산시 상록구 본오동 871 신안코아 지층5호
피자/양식,시요땅,경기도 안산시 상록구 본오동 872-21 1층 101호
피자/양식,우디버거,경기도 안산시 상록구 본오동 813-1 1층 103호
중국집,대운각중화요리,경기도 안산시 상록구 본오동 949-5 949-5 1층
중국집,완전짬뽕맛있는집,"경기도 안산시 상록구 본오동 877-8 올림포스보노피아 877-8 올림포스보노피아 121,122,123호"
중국집,짬뽕의전설-본오점,경기도 안산시 상록구 본오동 1126-8 1126-8
중국집,상록관전통중화요리,경기도 안산시 상록구 본오동 666-13 101호
중국집,라홍방마라탕-상록수점,경기도 안산시 상록구 본오동 880-8 성은빌딩 880-8 성은빌딩 1층 103호
중국집,차즈융성마라탕,경기도 안산시 상록구 본오동 777-3 777-3 1층
중국집,마라풍차-본오점,"경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 우성아파트 상가 1층 104호 , 141호"
중국집,금룡양꼬치,경기도 안산시 상록구 본오동 877-8 올림포스보노피아 877-8 올림포스보노피아 2층208호
중국집,동해강릉초당짬뽕순두부-상록수점,경기도 안산시 상록구 본오동 872-2 국제프라자 103호104호
중국집,젠틀포,경기도 안산시 상록구 본오동 813-9 1층
중국집,천년의짬뽕,"경기도 안산시 상록구 본오동 880-12 굿모닝리빙프라자 II 101호,102호"
중국집,연길냉면&꿔바로우,경기도 안산시 상록구 본오동 777-3 777-3 1층
중국집,소화룡양꼬치,경기도 안산시 상록구 본오동 877-8 올림포스보노피아 877-8 올림포스보노피아 2층208호
중국집,짜장짬뽕시대,경기도 안산시 상록구 본오동 860-11 1층 103호
중국집,778양꼬치-본오점,경기도 안산시 상록구 본오동 893-9 1층 101호
중국집,1001양꼬치&꼬치튀김,경기도 안산시 상록구 본오동 882-10 102호
중국집,행복짬뽕,경기도 안산시 상록구 본오동 770-4 1층
중국집,짬뽕에반하다-본오점,경기도 안산시 상록구 본오동 724 청룡빌라 1층 105호
중국집,강남화로구이양갈비양꼬치,경기도 안산시 상록구 본오동 1118-10 1층
한식,서울뚝배기-본점,"경기도 안산시 상록구 본오동 872-12 872-12 106,107,108호"
한식,뼈앓이감자탕-본오점,경기도 안산시 상록구 본오동 815 1층 일부
한식,H.열정직화삼겹&밥도둑짜글이-상록구점,경기도 안산시 상록구 본오동 984-19 1층 102호
한식,가서채생선구이전문점,경기도 안산시 상록구 본오동 860-8 860-8 1층
한식,어촌식당,경기도 안산시 상록구 본오동 675 675 1층
한식,진미곱창-본오점,경기도 안산시 상록구 본오동 872-15 화정빌딩 872-15 화정빌딩 101호
한식,비벼밥과쌈밥,경기도 안산시 상록구 본오동 668 668
한식,육잘알-본점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지하1층 B108호
한식,소공동직화구이집,경기도 안산시 상록구 본오동 797-21 797-21
한식,덮밥딜리버리-상록수점,"경기도 안산시 상록구 본오동 872 월드아파트 상가3동 지층 B01호일부 , B02호 일부"
한식,시골우렁쌈밥,경기도 안산시 상록구 본오동 960-12 960-12 1층
한식,민지네산꼼장어껍데기,경기도 안산시 상록구 본오동 885-3 민지산꼼장어껍데기 1층 전체
한식,여가순댓국,경기도 안산시 상록구 본오동 812-1 1층
한식,꼬꼬삼계탕,경기도 안산시 상록구 본오동 888-2 1층 일부호
한식,원조칡냉면-본오본점,경기도 안산시 상록구 본오동 872-9 872-9 융창빌딩 1층 102호
한식,우렁각시쌈밥,경기도 안산시 상록구 본오동 926-7 1층 101호
한식,오늘은찌개내일은제육,경기도 안산시 상록구 본오동 674-3 명성빌딩 1층 일부호
한식,신홍닭발,경기도 안산시 상록구 본오동 882-10 1층 일부
한식,도도야알탕,경기도 안산시 상록구 본오동 668-6 1층 일부(본오동)
한식,여수해물아구찜&사계절김치찜,경기도 안산시 상록구 본오동 804-17 804-17 104호
한식,새천년국밥,"경기도 안산시 상록구 본오동 880-12 굿모닝리빙프라자 II 101호,102호"
한식,동강감자탕&김치전골,경기도 안산시 상록구 본오동 771-20 1층
한식,육참냉면&콩국수-안산상록점,경기도 안산시 상록구 본오동 753-7 1층
한식,중앙즉석닭발-상록수점,"경기도 안산시 상록구 본오동 872-11 대승프라자 101,102,103호"
한식,서윤찬가찌개백반전문점,경기도 안산시 상록구 본오동 877-8 올림포스보노피아 1층 117호
한식,오늘도못참는김치찜-안산점,경기도 안산시 상록구 본오동 934-5 1층
한식,곱창주의보,경기도 안산시 상록구 본오동 934-20 1층 101호
한식,별맛푸드,경기도 안산시 상록구 본오동 890-3 지하1층
한식,팔팔김치찌개,경기도 안산시 상록구 본오동 829 829 1층102호
한식,황제닭도리탕,경기도 안산시 상록구 본오동 827-13 1층 일부
한식,동태탕&코다리찜,경기도 안산시 상록구 본오동 773-7 1층
한식,왔다왕십리곱창,경기도 안산시 상록구 본오동 769-17 1층
한식,궁궐전,경기도 안산시 상록구 본오동 787-4 1층 102호
